new_tests_per_thousand,new_tests_smoothed,total_deaths_per_million,aged_65_older,people_fully_vaccinated,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,hospital_beds_per_thousand,human_development_index,new_cases_smoothed_per_million,male_smokers,new_cases_per_million,total_vaccinations_per_hundred,weekly_hosp_admissions_per_million,people_vaccinated_per_hundred,new_cases_smoothed,reproduction_rate,weekly_hosp_admissions,total_vaccinations,new_vaccinations,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,tests_per_case,total_cases_per_million,new_people_vaccinated_smoothed,total_cases,positive_rate,handwashing_facilities,new_deaths,new_vaccinations_smoothed_per_million,stringency_index,total_deaths,new_tests,new_vaccinations_smoothed,new_cases
0.02,2813.0,0.2,5.3439999999999985,0.0,0.047,0.0,0.968,2.32,0.7090000000000001,0.857,33.2,0.516,0.0,0.0,0.0,51.429,0.98,0.0,0.0,0.0,0.0,58098.0,0.0,54.7,28.08,0.0,1686.0,0.0183,43.993,2.0,0.0,87.96,12.0,1225.0,0.0,31.0
0.0,2838.0,0.217,5.3439999999999985,0.0,0.047,0.0,0.0,2.32,0.7090000000000001,0.942,33.2,1.0490000000000002,0.0,0.0,0.0,56.57100000000001,1.03,0.0,0.0,0.0,0.0,0.0,0.0,50.2,29.13,0.0,1749.0,0.0199,43.993,1.0,0.0,87.96,13.0,0.0,0.0,63.0
0.0,2783.0,0.3,5.3439999999999985,0.0,0.046,0.0,1.062,2.32,0.7090000000000001,1.106,33.2,1.599,0.0,0.0,0.0,66.429,1.1,0.0,0.0,0.0,0.0,63776.0,0.0,41.9,30.728,0.0,1845.0,0.0239,43.993,1.0,0.0,87.96,18.0,0.0,0.0,96.0
0.085,2987.0,0.3,5.3439999999999985,0.0,0.05,0.0,1.147,2.32,0.7090000000000001,1.123,33.2,1.482,0.0,0.0,0.0,67.429,1.12,0.0,0.0,0.0,0.0,68874.0,0.0,44.3,32.211,0.0,1934.0,0.0226,43.993,5.0,0.0,87.96,18.0,5098.0,0.0,89.0
0.069,3238.0,0.4,5.3439999999999985,0.0,0.054000000000000006,0.0,1.216,2.32,0.7090000000000001,1.185,33.2,1.149,0.0,0.0,0.0,71.143,1.14,0.0,0.0,0.0,0.0,73028.0,0.0,45.5,33.36,0.0,2003.0,0.022,43.993,0.0,0.0,87.96,24.0,4154.0,0.0,69.0
0.034,3017.0,0.416,5.3439999999999985,0.0,0.05,0.0,1.25,2.32,0.7090000000000001,1.054,33.2,0.416,0.0,0.0,0.0,63.286,1.21,0.0,0.0,0.0,0.0,75053.0,0.0,47.7,33.776,0.0,2028.0,0.021,43.993,6.0,0.0,87.96,25.0,2025.0,0.0,25.0
0.084,3316.0,0.416,5.3439999999999985,0.0,0.055,0.0,1.334,2.32,0.7090000000000001,1.232,33.2,2.415,0.0,0.0,0.0,74.0,1.33,0.0,0.0,0.0,0.0,80085.0,0.0,44.8,36.191,0.0,2173.0,0.0223,43.993,1.0,0.0,87.96,25.0,5032.0,0.0,145.0
0.06,3652.0,0.45,5.3439999999999985,0.0,0.061,0.0,1.393,2.32,0.7090000000000001,1.394,33.2,1.649,0.0,0.0,0.0,83.714,1.36,0.0,0.0,0.0,0.0,83663.0,0.0,43.6,37.84,0.0,2272.0,0.0229,43.993,0.0,0.0,87.96,27.0,3578.0,0.0,99.0
0.056,3726.0,0.45,5.3439999999999985,0.0,0.062,0.0,1.449,2.32,0.7090000000000001,1.585,33.2,2.382,0.0,0.0,0.0,95.143,1.39,0.0,0.0,0.0,0.0,87022.0,0.0,39.2,40.222,0.0,2415.0,0.0255,43.993,2.0,0.0,87.96,27.0,3359.0,0.0,143.0
0.058,3820.0,0.5660000000000001,5.3439999999999985,0.0,0.064,0.0,1.508,2.32,0.7090000000000001,1.5730000000000002,33.2,1.516,0.0,0.0,0.0,94.429,1.39,0.0,0.0,0.0,0.0,90515.0,0.0,40.5,41.737,0.0,2506.0,0.0247,43.993,0.0,0.0,87.96,34.0,3493.0,0.0,91.0
0.076,3741.0,0.799,5.3439999999999985,0.0,0.062,0.0,1.5830000000000002,2.32,0.7090000000000001,1.597,33.2,1.649,0.0,0.0,0.0,95.857,1.41,0.0,0.0,0.0,0.0,95060.0,0.0,39.0,43.386,0.0,2605.0,0.0256,43.993,7.0,0.0,87.96,48.0,4545.0,0.0,99.0
