new_tests_per_thousand,new_tests_smoothed,total_boosters,hosp_patients_per_million,total_deaths_per_million,population_density,extreme_poverty,people_fully_vaccinated,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,hospital_beds_per_thousand,total_boosters_per_hundred,new_cases_smoothed_per_million,icu_patients_per_million,new_cases_per_million,hosp_patients,total_vaccinations_per_hundred,people_vaccinated_per_hundred,new_cases_smoothed,male_smokers,weekly_hosp_admissions_per_million,reproduction_rate,weekly_hosp_admissions,total_vaccinations,new_vaccinations,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,tests_per_case,total_cases_per_million,life_expectancy,new_people_vaccinated_smoothed,gdp_per_capita,total_cases,positive_rate,new_deaths,new_vaccinations_smoothed_per_million,stringency_index,total_deaths,new_tests,new_vaccinations_smoothed,icu_patients,new_cases
0.014,2403.0,0.0,0.0,0.099,35.60800000000001,1.2,0.0,0.006999999999999999,0.0,0.058,2.77,0.0,0.446,0.0,1.096,0.0,0.0,0.0,148.571,24.6,0.0,3.42,0.0,0.0,0.0,0.0,19188.0,0.0,16.2,3.445,78.86,0.0,54225.446,1147.0,0.0618,6.0,0.0,21.76,33.0,4825.0,0.0,0.0,365.0
0.027000000000000003,3498.0,0.0,0.0,0.129,35.60800000000001,1.2,0.0,0.011,0.0,0.084,2.77,0.0,0.602,0.0,1.319,0.0,0.0,0.0,200.286,24.6,0.0,3.4,0.0,0.0,0.0,0.0,28058.0,0.0,17.5,4.7639999999999985,78.86,0.0,54225.446,1586.0,0.0573,5.0,0.0,30.09,43.0,8870.0,0.0,0.0,439.0
0.035,4954.0,0.0,0.0,0.153,35.60800000000001,1.2,0.0,0.015,0.0,0.119,2.77,0.0,0.85,0.0,1.901,0.0,0.0,0.0,283.143,24.6,0.0,3.42,0.0,0.0,0.0,0.0,39770.0,0.0,17.5,6.665,78.86,0.0,54225.446,2219.0,0.0572,10.0,0.0,30.09,51.0,11712.0,0.0,0.0,633.0
0.039,6560.0,0.0,0.0,0.174,35.60800000000001,1.2,0.0,0.02,0.0,0.159,2.77,0.0,1.105,0.0,2.28,0.0,0.0,0.0,367.857,24.6,0.0,3.38,0.0,0.0,0.0,0.0,52781.0,0.0,17.8,8.945,78.86,0.0,54225.446,2978.0,0.0561,8.0,0.0,35.65,58.0,13011.0,0.0,0.0,759.0
0.043,8388.0,0.0,0.0,0.21,35.60800000000001,1.2,0.0,0.025,0.0,0.202,2.77,0.0,1.156,0.0,0.703,0.0,0.0,0.0,384.714,24.6,0.0,3.41,0.0,0.0,0.0,0.0,67213.0,0.0,21.8,9.648,78.86,0.0,54225.446,3212.0,0.0459,7.0,0.0,41.2,70.0,14432.0,0.0,0.0,234.0
0.08199999999999999,11943.0,0.0,0.0,0.29100000000000004,35.60800000000001,1.2,0.0,0.036000000000000004,0.0,0.284,2.77,0.0,1.753,0.0,4.407,0.0,0.0,0.0,583.571,24.6,0.0,3.6,0.0,0.0,0.0,0.0,94501.0,0.0,20.5,14.055,78.86,0.0,54225.446,4679.0,0.0489,12.0,0.0,52.31,97.0,27288.0,0.0,0.0,1467.0
0.12,17133.0,0.0,0.0,0.403,35.60800000000001,1.2,0.0,0.051,0.0,0.403,2.77,0.0,2.459,0.0,5.506,0.0,0.0,0.0,818.571,24.6,0.0,3.64,0.0,0.0,0.0,0.0,134295.0,0.0,20.9,19.561,78.86,0.0,54225.446,6512.0,0.0478,27.0,0.0,55.09,134.0,39794.0,0.0,0.0,1833.0
0.151,23642.0,0.0,0.0,0.583,35.60800000000001,1.2,0.0,0.071,0.0,0.555,2.77,0.0,3.442,0.0,7.981,0.0,0.0,0.0,1146.0,24.6,0.0,3.63,0.0,0.0,0.0,0.0,184680.0,0.0,20.6,27.542,78.86,0.0,54225.446,9169.0,0.0485,37.0,0.0,55.09,194.0,50385.0,0.0,0.0,2657.0
0.182,31026.0,0.0,0.0,0.799,35.60800000000001,1.2,0.0,0.093,0.0,0.737,2.77,0.0,5.182,0.0,13.499,0.0,0.0,0.0,1725.286,24.6,0.0,3.6,0.0,0.0,0.0,0.0,245237.0,0.0,18.0,41.04,78.86,0.0,54225.446,13663.0,0.0556,60.0,0.0,67.13,266.0,60557.0,0.0,0.0,4494.0
0.229,40244.0,0.0,0.0,1.117,35.60800000000001,1.2,0.0,0.121,0.0,0.966,2.77,0.0,7.643,0.0,19.125,0.0,0.0,0.0,2544.429,24.6,0.0,3.5,0.0,0.0,0.0,0.0,321481.0,0.0,15.8,60.165,78.86,0.0,54225.446,20030.0,0.0632,72.0,0.0,67.13,372.0,76244.0,0.0,0.0,6367.0
