median_age,new_tests_per_thousand,total_boosters,new_tests_smoothed,hosp_patients_per_million,total_deaths_per_million,aged_70_older,population_density,people_fully_vaccinated,new_people_vaccinated_smoothed_per_hundred,new_tests_smoothed_per_thousand,total_tests_per_thousand,human_development_index,total_boosters_per_hundred,new_cases,new_cases_smoothed_per_million,icu_patients_per_million,new_cases_per_million,hosp_patients,total_vaccinations_per_hundred,people_vaccinated_per_hundred,new_cases_smoothed,reproduction_rate,new_vaccinations,total_vaccinations,diabetes_prevalence,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,tests_per_case,total_cases_per_million,new_people_vaccinated_smoothed,total_cases,positive_rate,new_deaths,stringency_index,total_deaths,new_vaccinations_smoothed,new_tests,icu_patients,new_vaccinations_smoothed_per_million
41.4,0.024,0.0,295.0,0.0,0.0,10.797,4.037,0.0,0.0,0.008,0.071,0.929,0.0,10.0,0.18,0.0,0.263,0.0,0.0,0.0,6.857,1.0773974763406935,0.0,0.0,7.37,0.0,2699.0,0.0,43.0,1.944,0.0,74.0,0.0232,0.0,2.78,0.0,0.0,932.0,0.0,0.0
41.4,0.022,0.0,407.0,0.105,0.026,10.797,4.037,0.0,0.0,0.011,0.093,0.929,0.0,14.0,0.21,0.0,0.368,4.0,0.0,0.0,8.0,1.0773974763406935,0.0,0.0,7.37,0.0,3531.0,0.0,50.9,2.312,0.0,88.0,0.0197,0.0,2.78,1.0,0.0,832.0,0.0,0.0
41.4,0.0,0.0,494.0,0.131,0.026,10.797,4.037,0.0,0.0,0.013,0.0,0.929,0.0,4.0,0.206,0.0,0.105,5.0,0.0,0.0,7.857,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,62.9,2.417,0.0,92.0,0.0159,1.0,2.78,1.0,0.0,0.0,0.0,0.0
41.4,0.0,0.0,561.0,0.131,0.026,10.797,4.037,0.0,0.0,0.015,0.127,0.929,0.0,35.0,0.319,0.0,0.919,5.0,0.0,0.0,12.143,1.0773974763406935,0.0,0.0,7.37,0.0,4846.0,0.0,46.2,3.3360000000000003,0.0,127.0,0.0216,0.0,13.89,1.0,0.0,0.0,0.0,0.0
41.4,0.05,0.0,806.0,0.131,0.026,10.797,4.037,0.0,0.0,0.021,0.177,0.929,0.0,14.0,0.35700000000000004,0.0,0.368,5.0,0.0,0.0,13.571,2.53,0.0,0.0,7.37,0.0,6739.0,0.0,59.4,3.704,0.0,141.0,0.0168,0.0,22.22,1.0,0.0,1893.0,0.0,0.0
41.4,0.083,0.0,1213.0,0.184,0.026,10.797,4.037,0.0,0.0,0.032,0.26,0.929,0.0,72.0,0.574,0.026,1.891,7.0,0.0,0.0,21.857,2.56,0.0,0.0,7.37,0.0,9889.0,0.0,55.5,5.595,0.0,213.0,0.018000000000000002,0.0,22.22,1.0,0.0,3150.0,1.0,0.0
41.4,0.087,0.0,1635.0,0.236,0.026,10.797,4.037,0.0,0.0,0.043,0.34700000000000003,0.929,0.0,23.0,0.645,0.053,0.604,9.0,0.0,0.0,24.571,2.57,0.0,0.0,7.37,0.0,13209.0,0.0,66.5,6.199,0.0,236.0,0.015,0.0,24.07,1.0,0.0,3320.0,2.0,0.0
41.4,0.109,0.0,2094.0,0.236,0.026,10.797,4.037,0.0,0.0,0.055,0.456,0.929,0.0,60.0,0.833,0.053,1.5759999999999998,9.0,0.0,0.0,31.714,2.61,0.0,0.0,7.37,0.0,17357.0,0.0,66.0,7.776,0.0,296.0,0.0151,0.0,24.07,1.0,0.0,4148.0,2.0,0.0
41.4,0.119,0.0,2621.0,0.447,0.105,10.797,4.037,0.0,0.0,0.069,0.575,0.929,0.0,154.0,1.358,0.053,4.045,17.0,0.0,0.0,51.714,2.65,0.0,0.0,7.37,0.0,21876.0,0.0,50.7,11.821,0.0,450.0,0.0197,0.0,43.52,4.0,0.0,4519.0,2.0,0.0
41.4,0.132,0.0,3246.0,0.578,0.158,10.797,4.037,0.0,0.0,0.085,0.7070000000000001,0.929,0.0,82.0,1.651,0.158,2.154,22.0,0.0,0.0,62.857,2.64,0.0,0.0,7.37,0.0,26907.0,0.0,51.6,13.975,0.0,532.0,0.0194,3.0,43.52,6.0,0.0,5031.0,6.0,0.0
