new_tests_per_thousand,new_tests_smoothed,cardiovasc_death_rate,total_deaths_per_million,aged_65_older,population_density,female_smokers,people_fully_vaccinated,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,new_cases_smoothed_per_million,male_smokers,new_cases_per_million,total_vaccinations_per_hundred,people_vaccinated_per_hundred,new_cases_smoothed,reproduction_rate,total_vaccinations,new_vaccinations,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,tests_per_case,total_cases_per_million,life_expectancy,new_people_vaccinated_smoothed,gdp_per_capita,total_cases,positive_rate,new_deaths,stringency_index,new_vaccinations_smoothed_per_million,total_deaths,new_tests,new_vaccinations_smoothed,new_cases
0.028,969.0,79.37,0.262,27.049,347.778,11.2,0.0,0.008,0.0,0.142,0.308,33.7,0.317,0.0,0.0,38.857,1.03,0.0,0.0,0.0,17887.0,0.0,24.9,7.6789999999999985,84.63,0.0,39002.223,968.0,0.0401,2.0,40.74,0.0,33.0,3490.0,0.0,40.0
0.001,863.0,79.37,0.27,27.049,347.778,11.2,0.0,0.006999999999999999,0.0,0.14300000000000002,0.328,33.7,0.428,0.0,0.0,41.286,1.11,0.0,0.0,0.0,18006.0,0.0,20.9,8.107999999999999,84.63,0.0,39002.223,1022.0,0.0478,1.0,40.74,0.0,34.0,119.0,0.0,54.0
0.001,867.0,79.37,0.28600000000000003,27.049,347.778,11.2,0.0,0.006999999999999999,0.0,0.14400000000000002,0.299,33.7,0.294,0.0,0.0,37.714,1.14,0.0,0.0,0.0,18138.0,0.0,23.0,8.401,84.63,0.0,39002.223,1059.0,0.0435,1.0,40.74,0.0,36.0,132.0,0.0,37.0
0.0,869.0,79.37,0.317,27.049,347.778,11.2,0.0,0.006999999999999999,0.0,0.14400000000000002,0.315,33.7,0.35700000000000004,0.0,0.0,39.714,1.32,0.0,0.0,0.0,18194.0,0.0,21.9,8.758,84.63,0.0,39002.223,1104.0,0.0457,2.0,40.74,0.0,40.0,56.0,0.0,45.0
0.031,1123.0,79.37,0.325,27.049,347.778,11.2,0.0,0.009000000000000001,0.0,0.175,0.341,33.7,0.317,0.0,0.0,43.0,1.49,0.0,0.0,0.0,22056.0,0.0,26.1,9.076,84.63,0.0,39002.223,1144.0,0.0383,4.0,40.74,0.0,41.0,3862.0,0.0,40.0
0.0,1142.0,79.37,0.333,27.049,347.778,11.2,0.0,0.009000000000000001,0.0,0.0,0.3670000000000001,33.7,0.579,0.0,0.0,46.286,1.63,0.0,0.0,0.0,0.0,0.0,24.7,9.655,84.63,0.0,39002.223,1217.0,0.0405,1.0,40.74,0.0,42.0,0.0,0.0,73.0
0.005,941.0,79.37,0.35700000000000004,27.049,347.778,11.2,0.0,0.006999999999999999,0.0,0.18,0.4370000000000001,33.7,0.77,0.0,0.0,55.143,1.77,0.0,0.0,0.0,22730.0,0.0,17.1,10.424,84.63,0.0,39002.223,1314.0,0.0586,1.0,40.74,0.0,45.0,674.0,0.0,97.0
0.014,950.0,79.37,0.373,27.049,347.778,11.2,0.0,0.008,0.0,0.195,0.508,33.7,0.809,0.0,0.0,64.0,1.86,0.0,0.0,0.0,24535.0,0.0,14.8,11.234000000000002,84.63,0.0,39002.223,1416.0,0.0674,3.0,40.74,0.0,47.0,1805.0,0.0,102.0
0.011,1139.0,79.37,0.42,27.049,347.778,11.2,0.0,0.009000000000000001,0.0,0.206,0.5760000000000001,33.7,0.904,0.0,0.0,72.571,1.97,0.0,0.0,0.0,25977.0,0.0,15.7,12.138,84.63,0.0,39002.223,1530.0,0.0637,2.0,40.74,0.0,53.0,1442.0,0.0,114.0
0.002,1162.0,79.37,0.444,27.049,347.778,11.2,0.0,0.009000000000000001,0.0,0.208,0.758,33.7,1.571,0.0,0.0,95.571,2.12,0.0,0.0,0.0,26273.0,0.0,12.2,13.709,84.63,0.0,39002.223,1728.0,0.0822,6.0,40.74,0.0,56.0,296.0,0.0,198.0
0.002,1184.0,79.37,0.5,27.049,347.778,11.2,0.0,0.009000000000000001,0.0,0.21,0.91,33.7,1.42,0.0,0.0,114.714,2.1,0.0,0.0,0.0,26479.0,0.0,10.3,15.129,84.63,0.0,39002.223,1907.0,0.0969,3.0,40.74,0.0,63.0,206.0,0.0,179.0
0.028,1129.0,79.37,0.516,27.049,347.778,11.2,0.0,0.009000000000000001,0.0,0.238,0.971,33.7,0.746,0.0,0.0,122.429,2.03,0.0,0.0,0.0,29960.0,0.0,9.2,15.875,84.63,0.0,39002.223,2001.0,0.1084,7.0,40.74,0.0,65.0,3481.0,0.0,94.0
0.015,1354.0,79.37,0.532,27.049,347.778,11.2,0.0,0.011,0.0,0.253,1.176,33.7,2.015,0.0,0.0,148.286,2.07,0.0,0.0,0.0,31874.0,0.0,9.1,17.89,84.63,0.0,39002.223,2255.0,0.1095,2.0,40.74,0.0,67.0,1914.0,0.0,254.0
0.0,1641.0,79.37,0.5710000000000001,27.049,347.778,11.2,0.0,0.013,0.0,0.0,1.384,33.7,2.221,0.0,0.0,174.429,2.02,0.0,0.0,0.0,0.0,0.0,9.4,20.111,84.63,0.0,39002.223,2535.0,0.1063,2.0,40.74,0.0,72.0,0.0,0.0,280.0
0.037000000000000005,1718.0,79.37,0.595,27.049,347.778,11.2,0.0,0.014,0.0,0.29,1.589,33.7,2.245,0.0,0.0,200.286,1.95,0.0,0.0,0.0,36559.0,0.0,8.6,22.356,84.63,0.0,39002.223,2818.0,0.1166,5.0,40.74,0.0,75.0,4685.0,0.0,283.0
0.026,1984.0,79.37,0.643,27.049,347.778,11.2,0.0,0.016,0.0,0.316,1.841,33.7,2.6660000000000004,0.0,0.0,232.0,1.89,0.0,0.0,0.0,39864.0,0.0,8.6,25.022,84.63,0.0,39002.223,3154.0,0.1169,3.0,43.52,0.0,81.0,3305.0,0.0,336.0
0.002,1980.0,79.37,0.69,27.049,347.778,11.2,0.0,0.016,0.0,0.318,2.037,33.7,2.943,0.0,0.0,256.714,1.81,0.0,0.0,0.0,40135.0,0.0,7.7,27.965,84.63,0.0,39002.223,3525.0,0.1297,6.0,43.52,0.0,87.0,271.0,0.0,371.0
0.002,1982.0,79.37,0.738,27.049,347.778,11.2,0.0,0.016,0.0,0.32,2.232,33.7,2.785,0.0,0.0,281.286,1.77,0.0,0.0,0.0,40353.0,0.0,7.0,30.75,84.63,0.0,39002.223,3876.0,0.1419,6.0,43.52,0.0,93.0,218.0,0.0,351.0
0.062,2610.0,79.37,0.762,27.049,347.778,11.2,0.0,0.021,0.0,0.383,2.39,33.7,1.856,0.0,0.0,301.286,1.72,0.0,0.0,0.0,48229.0,0.0,8.7,32.606,84.63,0.0,39002.223,4110.0,0.1154,6.0,43.52,0.0,96.0,7876.0,0.0,234.0
0.036000000000000004,2986.0,79.37,0.777,27.049,347.778,11.2,0.0,0.024,0.0,0.419,2.527,33.7,2.975,0.0,0.0,318.571,1.7,0.0,0.0,0.0,52773.0,0.0,9.4,35.581,84.63,0.0,39002.223,4485.0,0.1067,3.0,45.37,0.0,98.0,4544.0,0.0,375.0
