new_tests_per_thousand,new_tests_smoothed,total_boosters,cardiovasc_death_rate,total_deaths_per_million,aged_65_older,aged_70_older,extreme_poverty,people_fully_vaccinated,female_smokers,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,hospital_beds_per_thousand,total_boosters_per_hundred,new_cases_smoothed_per_million,male_smokers,new_cases_per_million,total_vaccinations_per_hundred,people_vaccinated_per_hundred,new_cases_smoothed,reproduction_rate,total_vaccinations,new_vaccinations,diabetes_prevalence,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,tests_per_case,total_cases_per_million,new_people_vaccinated_smoothed,gdp_per_capita,total_cases,positive_rate,new_deaths,stringency_index,new_vaccinations_smoothed_per_million,total_deaths,new_tests,new_vaccinations_smoothed,new_cases
0.0,8314.0,0.0,85.99799999999998,1.6369999999999998,13.914,8.622,0.2,0.0,6.2,0.162,0.0,0.0,12.27,0.0,1.832,40.9,1.813,0.0,0.0,94.0,0.59,0.0,0.0,6.8,0.0,0.0,0.0,88.4,163.98,0.0,35938.374,8413.0,0.0113,6.0,55.56,0.0,84.0,0.0,0.0,93.0
0.0,9224.0,0.0,85.99799999999998,1.774,13.914,8.622,0.2,0.0,6.2,0.18,0.0,5.674,12.27,0.0,1.938,40.9,2.963,0.0,0.0,99.429,0.61,0.0,0.0,6.8,0.0,291120.0,0.0,92.8,166.942,0.0,35938.374,8565.0,0.0108,3.0,55.56,0.0,91.0,0.0,0.0,152.0
0.195,10062.0,0.0,85.99799999999998,1.832,13.914,8.622,0.2,0.0,6.2,0.196,0.0,5.87,12.27,0.0,1.874,40.9,1.696,0.0,0.0,96.143,0.56,0.0,0.0,6.8,0.0,301139.0,0.0,104.7,168.638,0.0,35938.374,8652.0,0.0096,7.0,55.56,0.0,94.0,10019.0,0.0,87.0
0.208,10213.0,0.0,85.99799999999998,1.988,13.914,8.622,0.2,0.0,6.2,0.199,0.0,6.077000000000001,12.27,0.0,1.985,40.9,2.865,0.0,0.0,101.857,0.62,0.0,0.0,6.8,0.0,311805.0,0.0,100.3,171.503,0.0,35938.374,8799.0,0.01,3.0,69.44,0.0,102.0,10666.0,0.0,147.0
0.106,9617.0,0.0,85.99799999999998,2.164,13.914,8.622,0.2,0.0,6.2,0.187,0.0,6.183,12.27,0.0,2.225,40.9,3.158,0.0,0.0,114.143,0.73,0.0,0.0,6.8,0.0,317240.0,0.0,84.3,174.66099999999997,0.0,35938.374,8961.0,0.0119,8.0,75.93,0.0,111.0,5435.0,0.0,162.0
0.14,9268.0,0.0,85.99799999999998,2.164,13.914,8.622,0.2,0.0,6.2,0.181,0.0,6.323,12.27,0.0,2.019,40.9,0.0,0.0,0.0,103.571,0.65,0.0,0.0,6.8,0.0,324408.0,0.0,89.5,174.66099999999997,0.0,35938.374,8961.0,0.0112,9.0,75.93,0.0,111.0,7168.0,0.0,0.0
0.17,9011.0,0.0,85.99799999999998,2.339,13.914,8.622,0.2,0.0,6.2,0.17600000000000002,0.0,6.4929999999999986,12.27,0.0,1.996,40.9,1.481,0.0,0.0,102.429,0.71,0.0,0.0,6.8,0.0,333142.0,0.0,88.0,176.142,0.0,35938.374,9037.0,0.0114,0.0,75.93,0.0,120.0,8734.0,0.0,76.0
0.204,9004.0,0.0,85.99799999999998,2.456,13.914,8.622,0.2,0.0,6.2,0.175,0.0,6.698,12.27,0.0,2.016,40.9,1.949,0.0,0.0,103.429,0.76,0.0,0.0,6.8,0.0,343618.0,0.0,87.1,178.09099999999995,0.0,35938.374,9137.0,0.0115,9.0,75.93,0.0,126.0,10476.0,0.0,100.0
0.136,8493.0,0.0,85.99799999999998,2.553,13.914,8.622,0.2,0.0,6.2,0.166,0.0,6.832999999999998,12.27,0.0,1.882,40.9,2.027,0.0,0.0,96.571,0.75,0.0,0.0,6.8,0.0,350573.0,0.0,87.9,180.118,0.0,35938.374,9241.0,0.0114,6.0,75.93,0.0,131.0,6955.0,0.0,104.0
0.218,8658.0,0.0,85.99799999999998,2.709,13.914,8.622,0.2,0.0,6.2,0.16899999999999998,0.0,7.051,12.27,0.0,1.893,40.9,1.774,0.0,0.0,97.143,0.77,0.0,0.0,6.8,0.0,361742.0,0.0,89.1,181.892,0.0,35938.374,9332.0,0.0112,5.0,75.93,0.0,139.0,11169.0,0.0,91.0
