new_tests_per_thousand,new_tests_smoothed,total_deaths_per_million,aged_65_older,population_density,people_fully_vaccinated,new_deaths_per_million,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,new_deaths_smoothed_per_million,hospital_beds_per_thousand,new_cases,total_vaccinations_per_hundred,people_vaccinated_per_hundred,reproduction_rate,total_vaccinations,new_vaccinations,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,new_deaths_smoothed,tests_per_case,total_cases_per_million,life_expectancy,new_people_vaccinated_smoothed,gdp_per_capita,total_cases,positive_rate,new_deaths,stringency_index,total_deaths,new_tests,new_vaccinations_smoothed,new_vaccinations_smoothed_per_million
0.031,674.0,0.056,27.049,347.778,0.0,0.008,0.005,0.0,0.046,0.005,13.05,20.0,0.0,0.0,1.57,0.0,0.0,0.0,5820.0,0.0,0.5710000000000001,33.5,2.642,84.63,0.0,39002.223,333.0,0.0299,1.0,43.52,7.0,3940.0,0.0,0.0
0.006,752.0,0.056,27.049,347.778,0.0,0.0,0.006,0.0,0.052000000000000005,0.003,13.05,35.0,0.0,0.0,1.64,0.0,0.0,0.0,6519.0,0.0,0.429,35.8,2.8960000000000004,84.63,0.0,39002.223,365.0,0.0279,0.0,43.52,7.0,699.0,0.0,0.0
0.004,813.0,0.056,27.049,347.778,0.0,0.0,0.006,0.0,0.056,0.002,13.05,32.0,0.0,0.0,1.75,0.0,0.0,0.0,7072.0,0.0,0.28600000000000003,30.9,3.332,84.63,0.0,39002.223,420.0,0.0323,0.0,43.52,7.0,553.0,0.0,0.0
0.001,808.0,0.056,27.049,347.778,0.0,0.0,0.006,0.0,0.057,0.001,13.05,55.0,0.0,0.0,1.68,0.0,0.0,0.0,7219.0,0.0,0.14300000000000002,25.6,3.697,84.63,0.0,39002.223,466.0,0.0391,0.0,43.52,7.0,147.0,0.0,0.0
0.001,810.0,0.063,27.049,347.778,0.0,0.008,0.006,0.0,0.058,0.002,13.05,46.0,0.0,0.0,1.59,0.0,0.0,0.0,7329.0,0.0,0.28600000000000003,23.6,3.959,84.63,0.0,39002.223,499.0,0.0423,1.0,43.52,8.0,110.0,0.0,0.0
0.01,988.0,0.079,27.049,347.778,0.0,0.016,0.008,0.0,0.069,0.005,13.05,33.0,0.0,0.0,1.55,0.0,0.0,0.0,8643.0,0.0,0.5710000000000001,27.8,4.181,84.63,0.0,39002.223,527.0,0.036000000000000004,2.0,40.74,10.0,1314.0,0.0,0.0
0.003,1027.0,0.103,27.049,347.778,0.0,0.024,0.008,0.0,0.07200000000000001,0.008,13.05,28.0,0.0,0.0,1.54,0.0,0.0,0.0,9067.0,0.0,1.0,25.0,4.641,84.63,0.0,39002.223,585.0,0.0399,3.0,40.74,13.0,424.0,0.0,0.0
0.001,490.0,0.119,27.049,347.778,0.0,0.016,0.004,0.0,0.073,0.009000000000000001,13.05,58.0,0.0,0.0,1.43,0.0,0.0,0.0,9248.0,0.0,1.143,11.2,5.077,84.63,0.0,39002.223,640.0,0.0895,2.0,40.74,15.0,181.0,0.0,0.0
0.015,655.0,0.151,27.049,347.778,0.0,0.032,0.005,0.0,0.08800000000000001,0.014,13.05,55.0,0.0,0.0,1.32,0.0,0.0,0.0,11103.0,0.0,1.714,13.9,5.522,84.63,0.0,39002.223,696.0,0.0722,4.0,40.74,19.0,1855.0,0.0,0.0
0.006999999999999999,699.0,0.16699999999999998,27.049,347.778,0.0,0.016,0.006,0.0,0.095,0.016,13.05,56.0,0.0,0.0,1.18,0.0,0.0,0.0,11962.0,0.0,2.0,15.6,5.815,84.63,0.0,39002.223,733.0,0.064,2.0,40.74,21.0,859.0,0.0,0.0
0.001,693.0,0.175,27.049,347.778,0.0,0.008,0.005,0.0,0.096,0.017,13.05,37.0,0.0,0.0,1.19,0.0,0.0,0.0,12069.0,0.0,2.143,14.7,6.307,84.63,0.0,39002.223,795.0,0.0678,1.0,40.74,22.0,107.0,0.0,0.0
0.0,683.0,0.19,27.049,347.778,0.0,0.016,0.005,0.0,0.096,0.018000000000000002,13.05,62.0,0.0,0.0,1.11,0.0,0.0,0.0,12111.0,0.0,2.286,14.6,6.553,84.63,0.0,39002.223,826.0,0.0684,2.0,40.74,24.0,42.0,0.0,0.0
0.017,793.0,0.238,27.049,347.778,0.0,0.048,0.006,0.0,0.113,0.023,13.05,31.0,0.0,0.0,1.07,0.0,0.0,0.0,14194.0,0.0,2.857,17.6,6.688,84.63,0.0,39002.223,843.0,0.0569,6.0,40.74,30.0,2083.0,0.0,0.0
0.002,761.0,0.238,27.049,347.778,0.0,0.0,0.006,0.0,0.114,0.019,13.05,17.0,0.0,0.0,1.04,0.0,0.0,0.0,14397.0,0.0,2.4290000000000003,17.3,7.084,84.63,0.0,39002.223,893.0,0.0578,0.0,40.74,30.0,203.0,0.0,0.0
0.0,985.0,0.254,27.049,347.778,0.0,0.016,0.008,0.0,0.0,0.019,13.05,50.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,2.4290000000000003,23.9,7.362,84.63,0.0,39002.223,928.0,0.0418,2.0,40.74,32.0,0.0,0.0,0.0
0.028,969.0,0.262,27.049,347.778,0.0,0.008,0.008,0.0,0.142,0.016,13.05,35.0,0.0,0.0,1.03,0.0,0.0,0.0,17887.0,0.0,2.0,24.9,7.6789999999999985,84.63,0.0,39002.223,968.0,0.0401,1.0,40.74,33.0,3490.0,0.0,0.0
0.001,863.0,0.27,27.049,347.778,0.0,0.008,0.006999999999999999,0.0,0.14300000000000002,0.015,13.05,40.0,0.0,0.0,1.11,0.0,0.0,0.0,18006.0,0.0,1.857,20.9,8.107999999999999,84.63,0.0,39002.223,1022.0,0.0478,1.0,40.74,34.0,119.0,0.0,0.0
0.001,867.0,0.28600000000000003,27.049,347.778,0.0,0.016,0.006999999999999999,0.0,0.14400000000000002,0.016,13.05,54.0,0.0,0.0,1.14,0.0,0.0,0.0,18138.0,0.0,2.0,23.0,8.401,84.63,0.0,39002.223,1059.0,0.0435,2.0,40.74,36.0,132.0,0.0,0.0
0.0,869.0,0.317,27.049,347.778,0.0,0.032,0.006999999999999999,0.0,0.14400000000000002,0.018000000000000002,13.05,37.0,0.0,0.0,1.32,0.0,0.0,0.0,18194.0,0.0,2.286,21.9,8.758,84.63,0.0,39002.223,1104.0,0.0457,4.0,40.74,40.0,56.0,0.0,0.0
0.031,1123.0,0.325,27.049,347.778,0.0,0.008,0.009000000000000001,0.0,0.175,0.012,13.05,45.0,0.0,0.0,1.49,0.0,0.0,0.0,22056.0,0.0,1.571,26.1,9.076,84.63,0.0,39002.223,1144.0,0.0383,1.0,40.74,41.0,3862.0,0.0,0.0
0.0,1142.0,0.333,27.049,347.778,0.0,0.008,0.009000000000000001,0.0,0.0,0.014,13.05,40.0,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0,1.714,24.7,9.655,84.63,0.0,39002.223,1217.0,0.0405,1.0,40.74,42.0,0.0,0.0,0.0
0.005,941.0,0.35700000000000004,27.049,347.778,0.0,0.024,0.006999999999999999,0.0,0.18,0.015,13.05,73.0,0.0,0.0,1.77,0.0,0.0,0.0,22730.0,0.0,1.857,17.1,10.424,84.63,0.0,39002.223,1314.0,0.0586,3.0,40.74,45.0,674.0,0.0,0.0
0.014,950.0,0.373,27.049,347.778,0.0,0.016,0.008,0.0,0.195,0.016,13.05,97.0,0.0,0.0,1.86,0.0,0.0,0.0,24535.0,0.0,2.0,14.8,11.234000000000002,84.63,0.0,39002.223,1416.0,0.0674,2.0,40.74,47.0,1805.0,0.0,0.0
