new_tests_per_thousand,new_tests_smoothed,median_age,total_boosters,total_deaths_per_million,aged_65_older,population_density,people_fully_vaccinated,new_deaths_per_million,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,new_deaths_smoothed_per_million,human_development_index,total_boosters_per_hundred,total_vaccinations_per_hundred,people_vaccinated_per_hundred,reproduction_rate,total_vaccinations,new_vaccinations,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,new_deaths_smoothed,tests_per_case,total_cases_per_million,life_expectancy,new_people_vaccinated_smoothed,gdp_per_capita,total_cases,positive_rate,new_deaths,stringency_index,new_vaccinations_smoothed_per_million,total_deaths,new_tests,new_vaccinations_smoothed,new_cases
0.355,37781.0,31.6,0.0,32.983000000000004,8.152999999999999,104.914,0.0,1.164,0.444,0.0,10.094,1.324,0.82,0.0,0.0,0.0,0.74,0.0,0.0,0.0,858452.0,0.0,112.571,11.1,1294.996,77.69,0.0,25129.341,110130.0,0.0901,99.0,75.93,0.0,2805.0,30177.0,0.0,2861.0
0.237,34986.0,31.6,0.0,34.101,8.152999999999999,104.914,0.0,1.117,0.411,0.0,10.331,1.277,0.82,0.0,0.0,0.0,0.78,0.0,0.0,0.0,878595.0,0.0,108.571,11.5,1320.054,77.69,0.0,25129.341,112261.0,0.0869,95.0,75.93,0.0,2900.0,20143.0,0.0,2357.0
0.344,33529.0,31.6,0.0,35.181999999999995,8.152999999999999,104.914,0.0,1.082,0.394,0.0,10.675,1.231,0.82,0.0,0.0,0.0,0.8,0.0,0.0,0.0,907825.0,0.0,104.714,12.3,1348.181,77.69,0.0,25129.341,114653.0,0.0812,92.0,75.93,0.0,2992.0,29230.0,0.0,2131.0
0.511,34381.0,31.6,0.0,36.229,8.152999999999999,104.914,0.0,1.047,0.404,0.0,11.186,1.1840000000000002,0.82,0.0,0.0,0.0,0.8,0.0,0.0,0.0,951323.0,0.0,100.714,12.7,1382.705,77.69,0.0,25129.341,117589.0,0.0786,89.0,75.93,0.0,3081.0,43498.0,0.0,2392.0
0.494,34530.0,31.6,0.0,37.322,8.152999999999999,104.914,0.0,1.094,0.406,0.0,11.68,1.147,0.82,0.0,0.0,0.0,0.75,0.0,0.0,0.0,993327.0,0.0,97.571,13.1,1413.454,77.69,0.0,25129.341,120204.0,0.0762,93.0,75.93,0.0,3174.0,42004.0,0.0,2936.0
0.487,34970.0,31.6,0.0,38.31,8.152999999999999,104.914,0.0,0.988,0.411,0.0,12.168,1.105,0.82,0.0,0.0,0.0,0.69,0.0,0.0,0.0,1034758.0,0.0,94.0,14.0,1439.182,77.69,0.0,25129.341,122392.0,0.0714,84.0,75.93,0.0,3258.0,41431.0,0.0,2615.0
0.4270000000000001,34686.0,31.6,0.0,39.227,8.152999999999999,104.914,0.0,0.917,0.408,0.0,12.595,1.058,0.82,0.0,0.0,0.0,0.68,0.0,0.0,0.0,1071076.0,0.0,90.0,14.6,1462.5,77.69,0.0,25129.341,124375.0,0.0684,78.0,75.93,0.0,3336.0,36318.0,0.0,2188.0
0.282,33804.0,31.6,0.0,39.945,8.152999999999999,104.914,0.0,0.7170000000000001,0.397,0.0,12.877,0.994,0.82,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1095077.0,0.0,84.571,14.9,1482.1370000000004,77.69,0.0,25129.341,126045.0,0.0673,61.0,75.93,0.0,3397.0,24001.0,0.0,1983.0
0.421,36036.0,31.6,0.0,40.697,8.152999999999999,104.914,0.0,0.753,0.424,0.0,13.297,0.942,0.82,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1130848.0,0.0,80.143,16.4,1501.116,77.69,0.0,25129.341,127659.0,0.061,64.0,75.93,0.0,3461.0,35771.0,0.0,1670.0
0.391,36615.0,31.6,0.0,41.39100000000001,8.152999999999999,104.914,0.0,0.6940000000000001,0.431,0.0,13.689,0.887,0.82,0.0,0.0,0.0,0.79,0.0,0.0,0.0,1164131.0,0.0,75.429,17.3,1522.658,77.69,0.0,25129.341,129491.0,0.0579,59.0,75.93,0.0,3520.0,33283.0,0.0,1614.0
