median_age,new_tests_per_thousand,total_boosters,new_tests_smoothed,cardiovasc_death_rate,total_deaths_per_million,aged_70_older,extreme_poverty,people_fully_vaccinated,new_deaths_per_million,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,new_deaths_smoothed_per_million,hospital_beds_per_thousand,total_boosters_per_hundred,male_smokers,total_vaccinations_per_hundred,people_vaccinated_per_hundred,reproduction_rate,new_vaccinations,total_vaccinations,diabetes_prevalence,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,new_deaths_smoothed,tests_per_case,total_cases_per_million,new_people_vaccinated_smoothed,total_cases,positive_rate,new_deaths,new_vaccinations_smoothed_per_million,stringency_index,total_deaths,new_vaccinations_smoothed,new_tests,new_cases
43.4,0.252,0.0,8018.0,85.99799999999998,0.253,8.622,0.2,0.0,0.0,0.156,0.0,1.383,0.031,12.27,0.0,40.9,0.0,0.0,2.88,0.0,0.0,6.8,0.0,70940.0,0.0,1.571,26.3,45.551,0.0,2337.0,0.038,0.0,0.0,55.56,13.0,0.0,12950.0,505.0
43.4,0.28800000000000003,0.0,9439.0,85.99799999999998,0.312,8.622,0.2,0.0,0.058,0.184,0.0,1.67,0.039,12.27,0.0,40.9,0.0,0.0,2.57,0.0,0.0,6.8,0.0,85693.0,0.0,2.0,24.3,61.397,0.0,3150.0,0.0411,3.0,0.0,55.56,16.0,0.0,14753.0,571.0
43.4,0.22,0.0,10622.0,85.99799999999998,0.331,8.622,0.2,0.0,0.019,0.207,0.0,1.89,0.031,12.27,0.0,40.9,0.0,0.0,2.35,0.0,0.0,6.8,0.0,96985.0,0.0,1.571,23.7,72.819,0.0,3736.0,0.0421,1.0,0.0,55.56,17.0,0.0,11292.0,813.0
43.4,0.246,0.0,11568.0,85.99799999999998,0.546,8.622,0.2,0.0,0.214,0.225,0.0,2.136,0.056,12.27,0.0,40.9,0.0,0.0,2.1,0.0,0.0,6.8,0.0,109591.0,0.0,2.857,23.1,84.494,0.0,4335.0,0.0432,11.0,0.0,55.56,28.0,0.0,12606.0,586.0
43.4,0.317,0.0,12734.0,85.99799999999998,0.546,8.622,0.2,0.0,0.0,0.248,0.0,2.4530000000000003,0.05,12.27,0.0,40.9,0.0,0.0,1.93,0.0,0.0,6.8,0.0,125851.0,0.0,2.571,21.2,101.081,0.0,5186.0,0.0472,0.0,0.0,55.56,28.0,0.0,16260.0,599.0
43.4,0.212,0.0,12940.0,85.99799999999998,0.682,8.622,0.2,0.0,0.136,0.252,0.0,2.665,0.064,12.27,0.0,40.9,0.0,0.0,1.41,0.0,0.0,6.8,0.0,136707.0,0.0,3.286,20.8,109.56,0.0,5621.0,0.0481,7.0,0.0,55.56,35.0,0.0,10856.0,851.0
43.4,0.192,0.0,12650.0,85.99799999999998,0.682,8.622,0.2,0.0,0.0,0.247,0.0,2.8560000000000003,0.061,12.27,0.0,40.9,0.0,0.0,1.07,0.0,0.0,6.8,0.0,146541.0,0.0,3.143,20.5,118.662,0.0,6088.0,0.0488,0.0,0.0,55.56,35.0,0.0,9834.0,435.0
43.4,0.355,0.0,13400.0,85.99799999999998,0.8190000000000001,8.622,0.2,0.0,0.136,0.261,0.0,3.2110000000000003,0.081,12.27,0.0,40.9,0.0,0.0,0.87,0.0,0.0,6.8,0.0,164740.0,0.0,4.143,22.0,128.506,0.0,6593.0,0.0454,7.0,0.0,55.56,42.0,0.0,18199.0,467.0
43.4,0.262,0.0,13214.0,85.99799999999998,0.858,8.622,0.2,0.0,0.039,0.258,0.0,3.4730000000000003,0.078,12.27,0.0,40.9,0.0,0.0,0.68,0.0,0.0,6.8,0.0,178189.0,0.0,4.0,23.8,137.238,0.0,7041.0,0.0421,2.0,0.0,55.56,44.0,0.0,13449.0,505.0
43.4,0.201,0.0,13076.0,85.99799999999998,0.975,8.622,0.2,0.0,0.117,0.255,0.0,3.674,0.092,12.27,0.0,40.9,0.0,0.0,0.72,0.0,0.0,6.8,0.0,188518.0,0.0,4.714,25.6,142.559,0.0,7314.0,0.0391,6.0,0.0,55.56,50.0,0.0,10329.0,448.0
