new_tests_per_thousand,new_tests_smoothed,total_boosters,cardiovasc_death_rate,hosp_patients_per_million,total_deaths_per_million,aged_65_older,population_density,people_fully_vaccinated,new_deaths_per_million,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,new_deaths_smoothed_per_million,total_boosters_per_hundred,icu_patients_per_million,hosp_patients,male_smokers,total_vaccinations_per_hundred,people_vaccinated_per_hundred,reproduction_rate,total_vaccinations,new_vaccinations,diabetes_prevalence,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,new_deaths_smoothed,tests_per_case,total_cases_per_million,new_people_vaccinated_smoothed,total_cases,positive_rate,new_deaths,new_vaccinations_smoothed_per_million,stringency_index,total_deaths,new_tests,new_vaccinations_smoothed,icu_patients,new_cases
0.109,2094.0,0.0,105.599,0.236,0.026,16.984,4.037,0.0,0.0,0.055,0.0,0.456,0.004,0.0,0.053,9.0,16.6,0.0,0.0,2.61,0.0,0.0,7.37,0.0,17357.0,0.0,0.14300000000000002,66.0,7.776,0.0,296.0,0.0151,0.0,0.0,24.07,1.0,4148.0,0.0,2.0,23.0
0.119,2621.0,0.0,105.599,0.447,0.105,16.984,4.037,0.0,0.079,0.069,0.0,0.575,0.011,0.0,0.053,17.0,16.6,0.0,0.0,2.65,0.0,0.0,7.37,0.0,21876.0,0.0,0.429,50.7,11.821,0.0,450.0,0.0197,3.0,0.0,43.52,4.0,4519.0,0.0,2.0,60.0
0.132,3246.0,0.0,105.599,0.578,0.158,16.984,4.037,0.0,0.053,0.085,0.0,0.7070000000000001,0.019,0.0,0.158,22.0,16.6,0.0,0.0,2.64,0.0,0.0,7.37,0.0,26907.0,0.0,0.7140000000000001,51.6,13.975,0.0,532.0,0.0194,2.0,0.0,43.52,6.0,5031.0,0.0,6.0,154.0
0.191,4192.0,0.0,105.599,0.8140000000000001,0.289,16.984,4.037,0.0,0.131,0.11,0.0,0.898,0.038,0.0,0.368,31.0,16.6,0.0,0.0,2.65,0.0,0.0,7.37,0.0,34193.0,0.0,1.429,48.5,19.229,0.0,732.0,0.0206,5.0,0.0,61.11,11.0,7286.0,0.0,14.0,82.0
0.226,5152.0,0.0,105.599,1.103,0.289,16.984,4.037,0.0,0.0,0.135,0.0,1.124,0.038,0.0,0.42,42.0,16.6,0.0,0.0,2.62,0.0,0.0,7.37,0.0,42801.0,0.0,1.429,46.2,24.194000000000006,0.0,921.0,0.0216,0.0,0.0,61.11,11.0,8608.0,0.0,16.0,200.0
0.191,5740.0,0.0,105.599,1.366,0.394,16.984,4.037,0.0,0.105,0.151,0.0,1.315,0.053,0.0,0.63,52.0,16.6,0.0,0.0,2.6,0.0,0.0,7.37,0.0,50068.0,0.0,2.0,41.8,30.866,0.0,1175.0,0.0239,4.0,0.0,71.3,15.0,7267.0,0.0,24.0,189.0
0.213,6427.0,0.0,105.599,1.786,0.499,16.984,4.037,0.0,0.105,0.16899999999999998,0.0,1.529,0.068,0.0,0.8140000000000001,68.0,16.6,0.0,0.0,2.57,0.0,0.0,7.37,0.0,58195.0,0.0,2.571,31.7,43.422,0.0,1653.0,0.0315,4.0,0.0,71.3,19.0,8127.0,0.0,31.0,254.0
0.277,7339.0,0.0,105.599,1.996,0.578,16.984,4.037,0.0,0.079,0.193,0.0,1.805,0.079,0.0,0.919,76.0,16.6,0.0,0.0,2.49,0.0,0.0,7.37,0.0,68730.0,0.0,3.0,29.4,53.72,0.0,2045.0,0.034,3.0,0.0,71.3,22.0,10535.0,0.0,35.0,478.0
0.293,8286.0,0.0,105.599,2.7060000000000004,0.762,16.984,4.037,0.0,0.184,0.218,0.0,2.0980000000000003,0.094,0.0,1.156,103.0,16.6,0.0,0.0,2.41,0.0,0.0,7.37,0.0,79877.0,0.0,3.571,27.0,68.29899999999999,0.0,2600.0,0.0371,7.0,0.0,72.69,29.0,11147.0,0.0,44.0,392.0
0.278,9080.0,0.0,105.599,4.019,0.867,16.984,4.037,0.0,0.105,0.239,0.0,2.376,0.101,0.0,1.681,153.0,16.6,0.0,0.0,2.34,0.0,0.0,7.37,0.0,90468.0,0.0,3.857,24.0,83.666,0.0,3185.0,0.0417,4.0,0.0,72.69,33.0,10591.0,0.0,64.0,555.0
0.29100000000000004,9621.0,0.0,105.599,4.623,1.103,16.984,4.037,0.0,0.236,0.253,0.0,2.667,0.116,0.0,1.891,176.0,16.6,0.0,0.0,2.25,0.0,0.0,7.37,0.0,101538.0,0.0,4.4289999999999985,22.8,96.748,0.0,3683.0,0.0438,9.0,0.0,72.69,42.0,11070.0,0.0,72.0,585.0
0.287,9950.0,0.0,105.599,5.674,1.497,16.984,4.037,0.0,0.394,0.261,0.0,2.954,0.173,0.0,2.154,216.0,16.6,0.0,0.0,2.19,0.0,0.0,7.37,0.0,112449.0,0.0,6.5710000000000015,19.2,119.523,0.0,4550.0,0.0521,15.0,0.0,72.69,57.0,10911.0,0.0,82.0,498.0
0.321,10657.0,0.0,105.599,6.83,1.734,16.984,4.037,0.0,0.236,0.28,0.0,3.275,0.191,0.0,2.338,260.0,16.6,0.0,0.0,2.11,0.0,0.0,7.37,0.0,124666.0,0.0,7.286,18.3,137.885,0.0,5249.0,0.0546,9.0,0.0,72.69,66.0,12217.0,0.0,89.0,867.0
0.328,11280.0,0.0,105.599,7.723,2.154,16.984,4.037,0.0,0.42,0.29600000000000004,0.0,3.603,0.236,0.0,3.284,294.0,16.6,0.0,0.0,2.04,0.0,0.0,7.37,0.0,137153.0,0.0,9.0,17.8,159.846,0.0,6085.0,0.0561,16.0,0.0,72.69,82.0,12487.0,0.0,125.0,699.0
0.406,11981.0,0.0,105.599,8.642000000000001,2.522,16.984,4.037,0.0,0.368,0.315,0.0,4.008,0.278,0.0,3.73,329.0,16.6,0.0,0.0,1.98,0.0,0.0,7.37,0.0,152595.0,0.0,10.571,16.9,184.276,0.0,7015.0,0.0593,14.0,0.0,72.69,96.0,15442.0,0.0,142.0,836.0
0.318,12120.0,0.0,105.599,10.665,3.284,16.984,4.037,0.0,0.762,0.318,0.0,4.327,0.36,0.0,4.124,406.0,16.6,0.0,0.0,1.91,0.0,0.0,7.37,0.0,164718.0,0.0,13.714,15.4,213.329,0.0,8121.0,0.0651,29.0,0.0,72.69,125.0,12123.0,0.0,157.0,930.0
0.35700000000000004,12550.0,0.0,105.599,12.662,3.993,16.984,4.037,0.0,0.7090000000000001,0.33,0.0,4.684,0.447,0.0,4.334,482.0,16.6,0.0,0.0,1.85,0.0,0.0,7.37,0.0,178318.0,0.0,17.0,14.5,242.882,0.0,9246.0,0.069,27.0,0.0,72.69,152.0,13600.0,0.0,165.0,1106.0
0.368,12972.0,0.0,105.599,13.817,4.597,16.984,4.037,0.0,0.604,0.341,0.0,5.053,0.499,0.0,4.5710000000000015,526.0,16.6,0.0,0.0,1.79,0.0,0.0,7.37,0.0,192339.0,0.0,19.0,13.3,276.532,0.0,10527.0,0.0754,23.0,0.0,74.54,175.0,14021.0,0.0,174.0,1125.0
