new_tests,new_people_vaccinated_smoothed,new_deaths_per_million,new_cases,people_fully_vaccinated,total_deaths_per_million,people_fully_vaccinated_per_hundred,reproduction_rate,new_people_vaccinated_smoothed_per_hundred,total_cases_per_million,new_cases_smoothed_per_million,new_tests_smoothed,people_vaccinated_per_hundred,new_vaccinations_smoothed,people_vaccinated,total_tests,new_deaths,total_tests_per_thousand,new_tests_smoothed_per_thousand,stringency_index,new_tests_per_thousand,tests_per_case,icu_patients,new_cases_smoothed,total_deaths,new_vaccinations_smoothed_per_million,positive_rate,total_vaccinations_per_hundred,total_cases,new_cases_per_million,total_vaccinations,new_vaccinations,new_deaths_smoothed,new_deaths_smoothed_per_million
0.0,0.0,0.016,35.0,0.0,0.254,0.0,0.99,0.0,7.362,0.326,985.0,0.0,0.0,0.0,0.0,2.0,0.0,0.008,40.74,0.0,23.9,0.0,41.143,32.0,0.0,0.0418,0.0,928.0,0.278,0.0,0.0,2.4290000000000003,0.019
3490.0,0.0,0.008,40.0,0.0,0.262,0.0,1.03,0.0,7.6789999999999985,0.308,969.0,0.0,0.0,0.0,17887.0,1.0,0.142,0.008,40.74,0.028,24.9,0.0,38.857,33.0,0.0,0.0401,0.0,968.0,0.317,0.0,0.0,2.0,0.016
119.0,0.0,0.008,54.0,0.0,0.27,0.0,1.11,0.0,8.107999999999999,0.328,863.0,0.0,0.0,0.0,18006.0,1.0,0.14300000000000002,0.006999999999999999,40.74,0.001,20.9,0.0,41.286,34.0,0.0,0.0478,0.0,1022.0,0.428,0.0,0.0,1.857,0.015
132.0,0.0,0.016,37.0,0.0,0.28600000000000003,0.0,1.14,0.0,8.401,0.299,867.0,0.0,0.0,0.0,18138.0,2.0,0.14400000000000002,0.006999999999999999,40.74,0.001,23.0,0.0,37.714,36.0,0.0,0.0435,0.0,1059.0,0.294,0.0,0.0,2.0,0.016
56.0,0.0,0.032,45.0,0.0,0.317,0.0,1.32,0.0,8.758,0.315,869.0,0.0,0.0,0.0,18194.0,4.0,0.14400000000000002,0.006999999999999999,40.74,0.0,21.9,0.0,39.714,40.0,0.0,0.0457,0.0,1104.0,0.35700000000000004,0.0,0.0,2.286,0.018000000000000002
3862.0,0.0,0.008,40.0,0.0,0.325,0.0,1.49,0.0,9.076,0.341,1123.0,0.0,0.0,0.0,22056.0,1.0,0.175,0.009000000000000001,40.74,0.031,26.1,0.0,43.0,41.0,0.0,0.0383,0.0,1144.0,0.317,0.0,0.0,1.571,0.012
0.0,0.0,0.008,73.0,0.0,0.333,0.0,1.63,0.0,9.655,0.3670000000000001,1142.0,0.0,0.0,0.0,0.0,1.0,0.0,0.009000000000000001,40.74,0.0,24.7,0.0,46.286,42.0,0.0,0.0405,0.0,1217.0,0.579,0.0,0.0,1.714,0.014
674.0,0.0,0.024,97.0,0.0,0.35700000000000004,0.0,1.77,0.0,10.424,0.4370000000000001,941.0,0.0,0.0,0.0,22730.0,3.0,0.18,0.006999999999999999,40.74,0.005,17.1,0.0,55.143,45.0,0.0,0.0586,0.0,1314.0,0.77,0.0,0.0,1.857,0.015
1805.0,0.0,0.016,102.0,0.0,0.373,0.0,1.86,0.0,11.234000000000002,0.508,950.0,0.0,0.0,0.0,24535.0,2.0,0.195,0.008,40.74,0.014,14.8,0.0,64.0,47.0,0.0,0.0674,0.0,1416.0,0.809,0.0,0.0,2.0,0.016
1442.0,0.0,0.048,114.0,0.0,0.42,0.0,1.97,0.0,12.138,0.5760000000000001,1139.0,0.0,0.0,0.0,25977.0,6.0,0.206,0.009000000000000001,40.74,0.011,15.7,0.0,72.571,53.0,0.0,0.0637,0.0,1530.0,0.904,0.0,0.0,2.714,0.022
296.0,0.0,0.024,198.0,0.0,0.444,0.0,2.12,0.0,13.709,0.758,1162.0,0.0,0.0,0.0,26273.0,3.0,0.208,0.009000000000000001,40.74,0.002,12.2,0.0,95.571,56.0,0.0,0.0822,0.0,1728.0,1.571,0.0,0.0,2.857,0.023
206.0,0.0,0.056,179.0,0.0,0.5,0.0,2.1,0.0,15.129,0.91,1184.0,0.0,0.0,0.0,26479.0,7.0,0.21,0.009000000000000001,40.74,0.002,10.3,0.0,114.714,63.0,0.0,0.0969,0.0,1907.0,1.42,0.0,0.0,3.286,0.026
3481.0,0.0,0.016,94.0,0.0,0.516,0.0,2.03,0.0,15.875,0.971,1129.0,0.0,0.0,0.0,29960.0,2.0,0.238,0.009000000000000001,40.74,0.028,9.2,0.0,122.429,65.0,0.0,0.1084,0.0,2001.0,0.746,0.0,0.0,3.429,0.027000000000000003
1914.0,0.0,0.016,254.0,0.0,0.532,0.0,2.07,0.0,17.89,1.176,1354.0,0.0,0.0,0.0,31874.0,2.0,0.253,0.011,40.74,0.015,9.1,0.0,148.286,67.0,0.0,0.1095,0.0,2255.0,2.015,0.0,0.0,3.571,0.028
0.0,0.0,0.04,280.0,0.0,0.5710000000000001,0.0,2.02,0.0,20.111,1.384,1641.0,0.0,0.0,0.0,0.0,5.0,0.0,0.013,40.74,0.0,9.4,0.0,174.429,72.0,0.0,0.1063,0.0,2535.0,2.221,0.0,0.0,3.857,0.031
4685.0,0.0,0.024,283.0,0.0,0.595,0.0,1.95,0.0,22.356,1.589,1718.0,0.0,0.0,0.0,36559.0,3.0,0.29,0.014,40.74,0.037000000000000005,8.6,0.0,200.286,75.0,0.0,0.1166,0.0,2818.0,2.245,0.0,0.0,4.0,0.032
3305.0,0.0,0.048,336.0,0.0,0.643,0.0,1.89,0.0,25.022,1.841,1984.0,0.0,0.0,0.0,39864.0,6.0,0.316,0.016,43.52,0.026,8.6,0.0,232.0,81.0,0.0,0.1169,0.0,3154.0,2.6660000000000004,0.0,0.0,4.0,0.032
271.0,0.0,0.048,371.0,0.0,0.69,0.0,1.81,0.0,27.965,2.037,1980.0,0.0,0.0,0.0,40135.0,6.0,0.318,0.016,43.52,0.002,7.7,0.0,256.714,87.0,0.0,0.1297,0.0,3525.0,2.943,0.0,0.0,4.4289999999999985,0.035
218.0,0.0,0.048,351.0,0.0,0.738,0.0,1.77,0.0,30.75,2.232,1982.0,0.0,0.0,0.0,40353.0,6.0,0.32,0.016,43.52,0.002,7.0,0.0,281.286,93.0,0.0,0.1419,0.0,3876.0,2.785,0.0,0.0,4.2860000000000005,0.034
7876.0,0.0,0.024,234.0,0.0,0.762,0.0,1.72,0.0,32.606,2.39,2610.0,0.0,0.0,0.0,48229.0,3.0,0.383,0.021,43.52,0.062,8.7,0.0,301.286,96.0,0.0,0.1154,0.0,4110.0,1.856,0.0,0.0,4.4289999999999985,0.035
4544.0,0.0,0.016,375.0,0.0,0.777,0.0,1.7,0.0,35.581,2.527,2986.0,0.0,0.0,0.0,52773.0,2.0,0.419,0.024,45.37,0.036000000000000004,9.4,0.0,318.571,98.0,0.0,0.1067,0.0,4485.0,2.975,0.0,0.0,4.4289999999999985,0.035
1383.0,0.0,0.056,535.0,0.0,0.833,0.0,1.74,0.0,39.825,2.8160000000000003,2848.0,0.0,0.0,0.0,54156.0,7.0,0.43,0.023,45.37,0.011,8.0,0.0,355.0,105.0,0.0,0.1246,0.0,5020.0,4.244,0.0,0.0,4.714,0.037000000000000005
2841.0,0.0,0.063,594.0,0.0,0.8959999999999999,0.0,1.73,0.0,44.538,3.169,2920.0,0.0,0.0,0.0,56997.0,8.0,0.452,0.023,45.37,0.023,7.3,0.0,399.429,113.0,0.0,0.1368,0.0,5614.0,4.712,0.0,0.0,5.4289999999999985,0.043
5389.0,0.0,0.095,636.0,0.0,0.992,0.0,1.66,0.0,49.583,3.509,3217.0,0.0,0.0,0.0,62386.0,12.0,0.495,0.026,45.37,0.043,7.3,0.0,442.286,125.0,0.0,0.1375,0.0,6250.0,5.046,0.0,0.0,6.2860000000000005,0.05
1644.0,0.0,0.103,701.0,0.0,1.095,0.0,1.56,0.0,55.144,3.883,3414.0,0.0,0.0,0.0,64030.0,13.0,0.508,0.027000000000000003,45.37,0.013,7.0,0.0,489.429,138.0,0.0,0.1434,0.0,6951.0,5.561,0.0,0.0,7.286,0.058
