new_tests,new_people_vaccinated_smoothed,new_deaths_per_million,new_cases,people_fully_vaccinated,total_deaths_per_million,people_fully_vaccinated_per_hundred,reproduction_rate,weekly_hosp_admissions,new_people_vaccinated_smoothed_per_hundred,total_cases_per_million,new_cases_smoothed_per_million,new_tests_smoothed,people_vaccinated_per_hundred,new_vaccinations_smoothed,people_vaccinated,total_tests,new_deaths,total_tests_per_thousand,new_tests_smoothed_per_thousand,stringency_index,new_tests_per_thousand,tests_per_case,icu_patients,new_cases_smoothed,total_deaths,new_vaccinations_smoothed_per_million,positive_rate,total_vaccinations_per_hundred,total_cases,new_cases_per_million,weekly_hosp_admissions_per_million,total_vaccinations,new_vaccinations,new_deaths_smoothed,new_deaths_smoothed_per_million
5098.0,0.0,0.0,89.0,0.0,0.3,0.0,1.12,0.0,0.0,32.211,1.123,2987.0,0.0,0.0,0.0,68874.0,0.0,1.147,0.05,87.96,0.085,44.3,0.0,67.429,18.0,0.0,0.0226,0.0,1934.0,1.482,0.0,0.0,0.0,1.857,0.031
4154.0,0.0,0.1,69.0,0.0,0.4,0.0,1.14,0.0,0.0,33.36,1.185,3238.0,0.0,0.0,0.0,73028.0,6.0,1.216,0.054000000000000006,87.96,0.069,45.5,0.0,71.143,24.0,0.0,0.022,0.0,2003.0,1.149,0.0,0.0,0.0,2.143,0.036000000000000004
2025.0,0.0,0.017,25.0,0.0,0.416,0.0,1.21,0.0,0.0,33.776,1.054,3017.0,0.0,0.0,0.0,75053.0,1.0,1.25,0.05,87.96,0.034,47.7,0.0,63.286,25.0,0.0,0.021,0.0,2028.0,0.416,0.0,0.0,0.0,2.286,0.038
5032.0,0.0,0.0,145.0,0.0,0.416,0.0,1.33,0.0,0.0,36.191,1.232,3316.0,0.0,0.0,0.0,80085.0,0.0,1.334,0.055,87.96,0.084,44.8,0.0,74.0,25.0,0.0,0.0223,0.0,2173.0,2.415,0.0,0.0,0.0,2.0,0.033
3578.0,0.0,0.033,99.0,0.0,0.45,0.0,1.36,0.0,0.0,37.84,1.394,3652.0,0.0,0.0,0.0,83663.0,2.0,1.393,0.061,87.96,0.06,43.6,0.0,83.714,27.0,0.0,0.0229,0.0,2272.0,1.649,0.0,0.0,0.0,2.143,0.036000000000000004
3359.0,0.0,0.0,143.0,0.0,0.45,0.0,1.39,0.0,0.0,40.222,1.585,3726.0,0.0,0.0,0.0,87022.0,0.0,1.449,0.062,87.96,0.056,39.2,0.0,95.143,27.0,0.0,0.0255,0.0,2415.0,2.382,0.0,0.0,0.0,2.0,0.033
3493.0,0.0,0.117,91.0,0.0,0.5660000000000001,0.0,1.39,0.0,0.0,41.737,1.5730000000000002,3820.0,0.0,0.0,0.0,90515.0,7.0,1.508,0.064,87.96,0.058,40.5,0.0,94.429,34.0,0.0,0.0247,0.0,2506.0,1.516,0.0,0.0,0.0,2.286,0.038
4545.0,0.0,0.233,99.0,0.0,0.799,0.0,1.41,0.0,0.0,43.386,1.597,3741.0,0.0,0.0,0.0,95060.0,14.0,1.5830000000000002,0.062,87.96,0.076,39.0,0.0,95.857,48.0,0.0,0.0256,0.0,2605.0,1.649,0.0,0.0,0.0,4.2860000000000005,0.071
5767.0,0.0,0.033,178.0,0.0,0.833,0.0,1.49,0.0,0.0,46.351000000000006,1.856,3971.0,0.0,0.0,0.0,100827.0,2.0,1.679,0.066,87.96,0.096,35.6,0.0,111.429,50.0,0.0,0.0281,0.0,2783.0,2.965,0.0,0.0,0.0,3.714,0.062
7194.0,0.0,0.033,251.0,0.0,0.866,0.0,1.53,0.0,0.0,50.53100000000001,2.394,4710.0,0.0,0.0,0.0,108021.0,2.0,1.7990000000000002,0.078,87.96,0.12,32.8,0.0,143.714,52.0,0.0,0.0305,0.0,3034.0,4.18,0.0,0.0,0.0,3.857,0.064
6690.0,0.0,0.033,124.0,0.0,0.899,0.0,1.46,0.0,0.0,52.597,2.344,4947.0,0.0,0.0,0.0,114711.0,2.0,1.911,0.08199999999999999,87.96,0.111,35.2,0.0,140.714,54.0,0.0,0.0284,0.0,3158.0,2.065,0.0,0.0,0.0,4.143,0.069
6799.0,0.0,0.067,142.0,0.0,0.966,0.0,1.44,0.0,0.0,54.962,2.446,5407.0,0.0,0.0,0.0,121510.0,4.0,2.024,0.09,87.96,0.113,36.8,0.0,146.857,58.0,0.0,0.0272,0.0,3300.0,2.365,0.0,0.0,0.0,4.4289999999999985,0.07400000000000001
5427.0,0.0,0.0,165.0,0.0,0.966,0.0,1.44,0.0,0.0,57.71,2.498,5702.0,0.0,0.0,0.0,126937.0,0.0,2.114,0.095,87.96,0.09,38.0,0.0,150.0,58.0,0.0,0.0263,0.0,3465.0,2.748,0.0,0.0,0.0,4.4289999999999985,0.07400000000000001
6837.0,0.0,0.117,170.0,0.0,1.083,0.0,1.45,0.0,0.0,60.541,2.6860000000000004,6180.0,0.0,0.0,0.0,133774.0,7.0,2.228,0.103,87.96,0.114,38.3,0.0,161.286,65.0,0.0,0.0261,0.0,3635.0,2.8310000000000004,0.0,0.0,0.0,4.4289999999999985,0.07400000000000001
9796.0,0.0,0.16699999999999998,318.0,0.0,1.249,0.0,1.47,0.0,0.0,65.837,3.207,6930.0,0.0,0.0,0.0,143570.0,10.0,2.391,0.115,87.96,0.163,36.0,0.0,192.571,75.0,0.0,0.0278,0.0,3953.0,5.296,0.0,0.0,0.0,3.857,0.064
8820.0,0.0,0.067,267.0,0.0,1.3159999999999998,0.0,1.43,0.0,0.0,70.28399999999999,3.419,7366.0,0.0,0.0,0.0,152390.0,4.0,2.5380000000000003,0.123,87.96,0.147,35.9,0.0,205.286,79.0,0.0,0.0279,0.0,4220.0,4.447,0.0,0.0,0.0,4.143,0.069
8614.0,0.0,0.117,141.0,0.0,1.432,0.0,1.37,0.0,0.0,72.632,3.157,7569.0,0.0,0.0,0.0,161004.0,7.0,2.682,0.126,87.96,0.14300000000000002,39.9,0.0,189.571,86.0,0.0,0.025,0.0,4361.0,2.3480000000000003,0.0,0.0,0.0,4.857,0.081
7639.0,0.0,0.017,185.0,0.0,1.449,0.0,1.37,0.0,0.0,75.714,3.302,7705.0,0.0,0.0,0.0,168643.0,1.0,2.809,0.128,87.96,0.127,38.9,0.0,198.286,87.0,0.0,0.0257,0.0,4546.0,3.0810000000000004,0.0,0.0,0.0,4.714,0.079
